last_name, first_name,player_id,team_id,team,position,age,competitive_runs,hp_to_1b,sprint_speed
Heyward, Jason,518792,112,CHC,RF,32,72,4.45,26.9
Guerrero Jr., Vladimir,665489,141,TOR,1B,22,104,4.70,26.9
Valaika, Pat,642162,110,BAL,2B,29,24,4.47,26.9
Gonzalez, Marwin,503556,111,BOS,2B,32,72,4.42,26.9
Schwarber, Kyle,656941,120,WSH,LF,28,69,4.44,26.9
Torreyes, Ronald,591720,143,PHI,SS,29,38,4.46,26.9
Farmer, Kyle,571657,113,CIN,SS,31,75,4.53,26.9
Rodgers, Brendan,663898,115,COL,2B,25,38,4.49,26.8
Freeman, Freddie,518692,144,ATL,1B,32,96,4.44,26.8
García, Robel,596825,117,HOU,2B,28,17,,26.8
Conforto, Michael,624424,121,NYM,RF,28,41,4.57,26.8
Marte, Ketel,606466,109,ARI,CF,28,66,4.50,26.8
Joe, Connor,656582,115,COL,1B,29,23,,26.8
Garlick, Kyle,664247,142,MIN,RF,29,30,4.67,26.8
Harrison, Josh,543281,120,WSH,2B,34,76,4.43,26.8
Rojas, Miguel,500743,146,MIA,SS,32,83,4.52,26.8
Bemboom, Anthony,621532,108,LAA,C,31,10,,26.8
Vargas, Ildemaro,545121,109,ARI,2B,30,25,,26.7
Paredes, Isaac,670623,116,DET,SS,22,11,,26.7
Williams, Mason,592863,121,NYM,CF,30,14,,26.7
McCann, James,543510,121,NYM,C,31,72,4.70,26.7
Inciarte, Ender,542255,144,ATL,CF,31,26,4.23,26.7
Rortvedt, Ben,666163,142,MIN,C,24,13,,26.7
Greiner, Grayson,606988,116,DET,C,29,10,,26.7
Kemp, Tony,643393,133,OAK,2B,30,51,4.44,26.7
Goldschmidt, Paul,502671,138,STL,1B,34,92,4.55,26.6
Urías, Luis,649966,158,MIL,SS,24,91,4.61,26.6
Díaz, Aledmys,649557,117,HOU,LF,31,48,4.43,26.6
Duffy, Matt,622110,112,CHC,3B,30,43,4.70,26.6
Verdugo, Alex,657077,111,BOS,LF,25,121,4.35,26.6
Gomes, Yan,543228,120,WSH,C,34,58,4.69,26.6
Stephenson, Tyler,663886,113,CIN,C,25,69,4.59,26.6
Stewart, DJ,621466,110,BAL,LF,28,49,4.48,26.6
Ozuna, Marcell,542303,144,ATL,LF,31,45,4.55,26.5
Vosler, Jason,613564,137,SF,3B,28,19,4.58,26.5
Mancini, Trey,641820,110,BAL,1B,29,109,4.65,26.5
Robertson, Daniel,621002,158,MIL,SS,27,22,4.75,26.5
Pinder, Chad,640461,133,OAK,LF,29,48,4.64,26.5
Smith, Pavin,656976,109,ARI,1B,25,119,4.47,26.5
Vaughn, Andrew,683734,145,CWS,LF,23,71,4.64,26.5
